what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055059029
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1433055087806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433055089143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055091586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055100889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055109397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1433055129295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433055132616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055135082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055137934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055147393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055168832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055178672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055184625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055192893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055199900
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433055357218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055359906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055361803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055390806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055395405
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433055395948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433055396241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1433055397810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433055399059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055399994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055411631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055411812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433055423636
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433055427129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055428965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055430804
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1433055436164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055436244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055446047
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1433055448345
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433055449235
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1433055464000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055464077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055465854
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433055467678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055471927
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433055472923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433055472983
